Category Page Number,NEW,SKU,Style,Description,Color Group,Color Code,Color,Hex Code,Size Group,Size Code,Size,Case Qty,Weight,Mill #,Mill Name,Category,Subcategory,Price,Retail Price,Thumbnail Name,Normal Image Name,Full Feature Description,Brand Page Number
0,NEW,B15724CL0,00111CD,Scout Brief,VINTAGE ARMY,12,CL,,0,0,OS,15,2,25,Alternative Drop Ship,Bags,,7280|0|1;6188|2|12;5260|13|-1,1052,http://www.broderbros.com/images/bro/prodDetail/00111cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00111cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 15.25"" length x 2.25"" width x 10.5"" height; ",0
0,NEW,B15824CL0,00120CE,Safari Duffel,VINTAGE ARMY,12,CL,,0,0,OS,15,1.73,25,Alternative Drop Ship,Bags,,7550|0|1;6417|2|12;5455|13|-1,1091,http://www.broderbros.com/images/bro/prodDetail/00120ce_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00120ce_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 20.25"" length x 6.375"" width x 13.75"" height; ",0
0,NEW,B15924510,00165CD,City Mini,VINTAGE BLACK,12,51,,0,0,OS,20,.8,25,Alternative Drop Ship,Bags,,3415|0|1;2903|2|12;2468|13|-1,4936,http://www.broderbros.com/images/bro/prodDetail/00165cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00165cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 7.75"" length x 5.875"" width; ",0
0,NEW,B15924CL0,00165CD,City Mini,VINTAGE ARMY,12,CL,,0,0,OS,20,.8,25,Alternative Drop Ship,Bags,,3415|0|1;2903|2|12;2468|13|-1,4936,http://www.broderbros.com/images/bro/prodDetail/00165cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00165cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 7.75"" length x 5.875"" width; ",0
0,NEW,B16024510,00167CD,Computer Slip,BLACK,12,51,,0,0,OS,12,1.5,25,Alternative Drop Ship,Bags,,3243|0|1;2756|2|12;2343|13|-1,4686,http://www.broderbros.com/images/bro/prodDetail/00167cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00167cd_p.jpg,"100% Cotton Canvas; Unisex design; 15.25"" length x 1.5"" width x 10.75"" height; ",0
0,NEW,B16024580,00167CD,Computer Slip,ARMY,12,58,,0,0,OS,12,1.5,25,Alternative Drop Ship,Bags,,3243|0|1;2756|2|12;2343|13|-1,4686,http://www.broderbros.com/images/bro/prodDetail/00167cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00167cd_p.jpg,"100% Cotton Canvas; Unisex design; 15.25"" length x 1.5"" width x 10.75"" height; ",0
0,NEW,B21124CLO,00171CD,Radar Tote,VINTAGE ARMY,12,CL,,0,O,OS,30,1.13,25,Alternative Drop Ship,Bags,,4587|0|1;3899|2|12;3314|13|-1,6628,http://www.broderbros.com/images/bro/prodDetail/00171cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00171cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 14.25"" length x 13.5"" width; ",0
0,NEW,B16224510,00173CD,Zip-Top Wallet,BLACK,12,51,,0,0,OS,300,0,25,Alternative Drop Ship,Other Accessories,,1147|0|1;9750|2|12;8290|13|-1,1658,http://www.broderbros.com/images/bro/prodDetail/00173cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00173cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 4"" length x 4.5"" width; ",0
0,NEW,B16224580,00173CD,Zip-Top Wallet,ARMY,12,58,,0,0,OS,300,0,25,Alternative Drop Ship,Other Accessories,,1147|0|1;9750|2|12;8290|13|-1,1658,http://www.broderbros.com/images/bro/prodDetail/00173cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00173cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 4"" length x 4.5"" width; ",0
0,NEW,B16324006,01044C1,Super Destroyed Tee,WHITE,12,00,,25,6,XL,72,.31,25,Alternative Drop Ship,T,shirts,1977|0|1;1681|2|12;1429|13|-1,2858,http://www.broderbros.com/images/bro/prodDetail/01044c1_t.jpg,http://www.broderbros.com/images/bro/prodDetail/01044c1_p.jpg,40's 100% Cotton Jersey; Garment dyed and washed; Unisex regular fit; ,0
0,NEW,B16324005,01044C1,Super Destroyed Tee,WHITE,12,00,,25,5,L,72,.29,25,Alternative Drop Ship,T,shirts,1977|0|1;1681|2|12;1429|13|-1,2858,http://www.broderbros.com/images/bro/prodDetail/01044c1_t.jpg,http://www.broderbros.com/images/bro/prodDetail/01044c1_p.jpg,40's 100% Cotton Jersey; Garment dyed and washed; Unisex regular fit; ,0
0,NEW,B16324004,01044C1,Super Destroyed Tee,WHITE,12,00,,25,4,M,72,.26,25,Alternative Drop Ship,T,shirts,1977|0|1;1681|2|12;1429|13|-1,2858,http://www.broderbros.com/images/bro/prodDetail/01044c1_t.jpg,http://www.broderbros.com/images/bro/prodDetail/01044c1_p.jpg,40's 100% Cotton Jersey; Garment dyed and washed; Unisex regular fit; ,0
0,NEW,B16324003,01044C1,Super Destroyed Tee,WHITE,12,00,,25,3,S,72,.25,25,Alternative Drop Ship,T,shirts,1977|0|1;1681|2|12;1429|13|-1,2858,http://www.broderbros.com/images/bro/prodDetail/01044c1_t.jpg,http://www.broderbros.com/images/bro/prodDetail/01044c1_p.jpg,40's 100% Cotton Jersey; Garment dyed and washed; Unisex regular fit; ,0
