SKU,Status,Title,Price,Weight,Company,Style Code,Features,Retail Price,Size,Hex Color,Color,Mill Name,Dimensions,Imprint Area,Item Number,Image,Category
B20524EK0|B20524510|B20524FW0|B20524EJ0,TRUE,Short Brim Hat ,26.03|0|1;22.12|2|12;18.81|13|-1;,0.38,Broder,0,100% Wool Felt; Unisex regular fit; ,52.06,,,,Alternative Drop Ship,,,B20524FW0,http://www.broderbros.com/images/bro/prodDetail/h0093a4_p.jpg,NEW
LB00400A0|LB00455A0|LB00499A0|LB00445A0|LB00415A0|LB00433A0|LB00458A0|LB00420A0,TRUE,Simple and Cool Cooler ,3.32|0|1;2.76|2|12;2.21|13|-1;,0.46,Broder,0,"600-denier polyester; Contains 50% recycled polyester; Great six-pack or lunch cooler with 7"" drop length; Front pocket with zippered main compartment; Aluminum foil insulated interior; Color-matched handles & zipper; matching 1 1/2"" wide handles; 9""W x 7 1/2""H x 5""D; ",6.64,,,,Liberty Bags,,,LB00499A0,http://www.broderbros.com/images/bro/prodDetail/8808_00_p.jpg,NEW
B18324GN3|B18324GN6|B18324GN4|B18324GN5|B18324303|B18324304|B18324305|B18324306|B18324784|B18324785|B18324786|B18324783|B18324515|B18324514|B18324516|B18324513,TRUE,Skinny Leggings ,16.18|0|1;13.75|2|12;11.69|13|-1;,0.3,Broder,6,"40's Pima Modal Blend; 47% Pima Cotton, 47% Modal, 6% Spandex; Garment dyed and washed; Women's junior fit; ",32.36,,,,Alternative Drop Ship,,,B18324GN6,http://www.broderbros.com/images/bro/prodDetail/07004p2_p.jpg,NEW
B04250634|B04250257|B04250263|B04250264|B04250265|B04250266|B04250267|B04250524|B04250544|B04250664|B04250665|B04250666|B04250667|B04250534|B04250535|B04250536|B04250663|B04250026|B04250513|B04250433|B04250025|B04250516|B04250517|B04250514|B04250515|B04250104|B04250254|B04250106|B04250533|B04250105|B04250526|B04250593|B04250537|B04250596|B04250597|B04250594|B04250595|B04250233|B04250527|B04250103|B04250237|B04250236|B04250235|B04250234|B04250107|B04250024|B04250563|B04250253|B04250036|B04250567|B04250566|B04250565|B04250564|B04250545|B04250435|B04250547|B04250546|B04250543|B04250434|B04250035|B04250635|B04250037|B04250034|B04250523|B04250437|B04250033|B04250637|B04250636|B04250256|B04250436|B04250633|B04250023|B04250027|B04250525|B04250255|B04250583|B04250585|B04250584|B04250587|B04250586,TRUE,Sleeve Stripe Jersey ,10.11|0|1;8.43|2|12;6.74|13|-1;,0.38,Broder,6,"50% polyester, 50% cotton jersey knit; Contrast color 1x1 rib knit V-neck collar; Two contrast color sleeve stripes; Set-in sleeves; Double-needle hemmed sleeves and bottom; Additional colors available by special order; ",20.22,,,,Augusta Sportswear,,,B04250106,http://www.broderbros.com/images/bro/prodDetail/360_10_p.jpg,NEW
B043DE000,TRUE,Smooth Cut Sheers ,16.00|0|1;16.00|2|12;16.00|13|-1;,0.08,Broder,0,"Sharp stainless steel blade with long lasting edge; Ergonomically-designed, impact-resistant handles; 8"" overall length; ",32,,,,Decoration Supplies,,,B043DE000,http://www.broderbros.com/images/bro/prodDetail/scsmt_00_p.jpg,NEW
B094DE000,TRUE,Snip - eze Snips ,11.75|0|1;11.75|2|12;11.75|13|-1;,0.06,Broder,0,"Squeezee snipper scissors; Makes cutting threads easier; 4.75"" overall length; ",23.5,,,,Decoration Supplies,,,B094DE000,http://www.broderbros.com/images/bro/prodDetail/snips_00_p.jpg,NEW
B08340004|B08340416|B08340AX8|B08340038|B08340037|B08340036|B08340035|B08340034|B08340033|B08340518|B08340005|B08340197|B08340543|B08340547|B08340546|B08340545|B08340544|B08340419|B08340548|B08340418|B08340AT7|B08340AT6|B08340AT5|B08340AT4|B08340AT3|B08340AX3|B08340AX7|B08340AX6|B08340AX5|B08340AT8|B08340486|B08340487|B08340484|B08340485|B08340198|B08340483|B08340194|B08340195|B08340196|B08340AX4|B08340006|B08340007|B08340488|B08340193|B08340513|B08340413|B08340008|B08340003|B08340433|B08340519|B08340009|B08340437|B08340436|B08340435|B08340434|B08340415|B08340414|B08340417|B08340438|B08340514|B08340515|B08340516|B08340517,TRUE,Soft Spun Fashion Fit T - Shirt ,3.50|0|1;2.91|2|12;2.33|13|-1;,0.39,Broder,6,"4.5 oz., 100% preshrunk soft spun cotton; Smoother shoulder-to-shoulder tape; Double-needle stitched sleeves and bottom hem; TearAway&#153; label; Heather Grey is 90% soft spun cotton, 10% polyester; Seamed collarette; ",7,,,,Anvil,,,B08340006,http://www.broderbros.com/images/bro/prodDetail/989_00_p.jpg,NEW
B08540416|B08540415|B08540AT8|B08540435|B08540AT3|B08540AT5|B08540AT4|B08540AT7|B08540AT6|B08540437|B08540436|B08540008|B08540009|B08540004|B08540005|B08540006|B08540007|B08540003|B08540417|B08540513|B08540433|B08540414|B08540516|B08540517|B08540514|B08540515|B08540438|B08540518|B08540519|B08540419|B08540418|B08540548|B08540434|B08540545|B08540544|B08540547|B08540546|B08540413|B08540543,TRUE,Soft Spun Fashion Fit V - Neck T - Shirt ,4.34|0|1;3.61|2|12;2.89|13|-1;,0.43,Broder,6,"4.5 oz., 100% preshrunk cotton; Smoother shoulder-to-shoulder tape; Double-needle stitched sleeves and bottom hem; TearAway&#153; label; Heather Grey is 90% soft spun cotton, 10% polyester; Fine-finished mitered V-neck with seamed collarette; ",8.68,,,,Anvil,,,B08540006,http://www.broderbros.com/images/bro/prodDetail/982_00_p.jpg,NEW
BA00302A0|BA00321A0|B00315000|BA00314A0|BA00354A0|BA00345A0|B00315050,TRUE,Solid Bandana ,2.76|0|1;2.30|2|12;1.84|13|-1;,0.08,Broder,0,"100% cotton twill; 20""W x 20""H; ",5.52,,,,Big Accessories,,,B00315050,http://www.broderbros.com/images/bro/prodDetail/ba001_05_p.jpg,NEW
2066248A0|2066245A0|B00840120|2003088A0|2066200A0|2066299A0|2066284A0|2066287A0|2003087A0|2066215A0|2003079A0|2003083A0|2003086A0|2003081A0|2003085A0|2066235A0|2066286A0,TRUE,Solid Low - Profile Twill Cap ,5.15|0|1;4.29|2|12;3.43|13|-1;,0.24,Broder,0,"100% cotton twill; 6-panel, unstructured, low-profile; Precurved bill with four-row stitching; Matching-color sweatband; Sewn eyelets; Bill has Navy sandwich trim; Adjustable Velcro&#174; closure; ",10.3,,,,Anvil,,,2066299A0,http://www.broderbros.com/images/bro/prodDetail/156_00_p.jpg,NEW
